Agent,Tardiness_Mean,Tardiness_Std,Cost_Mean,Cost_Std,Utilization_Mean,PM_Count_Mean,CM_Count_Mean
Proposed PPO,141256.36597997523,19628.97194343105,5433.666666666667,541.4824302063939,72.50851945699803,67.06666666666666,40.733333333333334
FIFO,137660.7425691148,17112.51425958006,7715.0,868.3883539830168,66.45579111648166,3.5,76.26666666666667
SPT,180872.0951598281,17770.623996718015,7615.666666666667,887.3018401623856,65.58782945088005,2.8666666666666667,75.43333333333334
Random,150302.10043031588,18110.650871054153,5296.666666666667,654.9062697991386,69.36576769895798,62.13333333333333,40.43333333333333
